address,credit
0x000aa047b0bfa841bbf67624843f5f1baeb689f9,71780194271959391
0x000d839d5cb48327c5c9f8143c78b51c1a757bb9,14371195606787037
0x00489ddbf5aa399ee576c066a25cc908e038721f,7071303815858953
0x006e19101cac0fa8740d6e39768e83b957c5c06c,76262405113469828
0x00ed0914d0dc4ecba5810529456d09c87a245b94,7137955940737738
0x00fddf15962fd7a4381e83dc82645cf2a45db33d,7178655413425785
0x010349096105e83557fd8ecc2b269d2d2dbff593,7184186423571676
0x012e414b3043e5de1714cc0a03fa6e0125efd80e,1426331021248881
0x016937d01548a3eb188e92eee46487978036d63a,7180586337516021
0x025618c5ad746eaee66e42489d33ec91f941e598,7185208549242082
0x02b1e34b8ea94bff33d77e5196e3ae45ba87803a,65009612968454411
0x03683bab4aae4076225030d97e215fc9f617f28a,7135239048777124
0x0385ebd136bfeb8e1943992c23211a5655d6393e,3593186480615492
0x03a1e4b66a65788b7b45a966e9f2a641eb2030b8,7144551766814203
0x041ebb58db319690823589de26360b84dc8dbc17,24298012673215884
0x04738a5218560e7c8aa8fcef38c2b18dab4a95dd,7173647145894424
0x04a361e025415b208a711cf4a38726f1f8adc6e8,1529577903260507
0x05290e2507a710b4f1e99669eab1c5c939b37561,72208058546830141
0x05840fd5afe6d69427d6c467fa438148e42e5d00,7179711197920636
0x05916a13d15ec698ec86c1b2961bed296b3ba8ce,52468679103266542
0x05f6875132b910976ee165171b78d7965e0fbf5c,14373987996103631
0x0604ac87da44d2a3d3f1b5fde8b545d0ad76695e,1690549164562912
0x06294e49d8ab48e491ed6c86d2e554a0d88974b6,7145121712686502
0x06ad8abe13f175ee545f3560a380f61109781324,7174723676130342
0x06bfd7de1e77c31278aa3d5c344926b79d1ea529,7182848699729712
0x06d1678aac90e2b875ca4a0ea07b2af8af2b93d0,718369028456749
0x06def639045e0acc26eae895aef38dd737d670d6,1435079042258023
0x06e252cdb6bf0e724346be59ceadf6684c79793c,16693539178803946
